AGE_CAT,HI_CAT,HS_CAT,RACE_CAT,SEX_CAT,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10
3,1,3,2,2,0.38172,0.06999,0.00457,0.30466,0,0.0614,0,0.09548,0.016392,0.06578,0.38172,0.45172,0.45629,0.76095,0.76095,0.82235,0.82235,0.91783,0.93422,1
3,1,3,3,1,0.80064,0.04234,0.00393,0.08641,0,0,0,0.04378,0.012309,0.01059,0.80064,0.84297,0.84691,0.93332,0.93332,0.93332,0.93332,0.9771,0.98941,1
3,1,3,3,2,0.71958,0.05987,0.00494,0.15373,0,0,0,0.03888,0.012129,0.01087,0.71958,0.77946,0.78439,0.93812,0.93812,0.93812,0.93812,0.977,0.98913,1
3,2,1,1,1,0.25533,0.54228,0.08122,0.02198,0.01267,0.01425,0.00319,0.0026,0.024959,0.04152,0.25533,0.79761,0.87883,0.90081,0.91348,0.92774,0.93093,0.93352,0.95848,1
3,2,1,1,2,0.18484,0.61769,0.08208,0.0315,0.00865,0.01361,0.00566,0.00186,0.01981,0.03431,0.18484,0.80252,0.88461,0.91611,0.92476,0.93837,0.94403,0.94588,0.96569,1
3,2,1,2,1,0.2452,0.57061,0.04116,0.04144,0.00235,0.01128,0,0.00205,0.025021,0.06088,0.2452,0.81581,0.85697,0.89841,0.90077,0.91205,0.91205,0.9141,0.93912,1
3,2,1,2,2,0.17532,0.64196,0.04109,0.05866,0.00159,0.01064,0,0.00145,0.019615,0.04969,0.17532,0.81728,0.85836,0.91702,0.91861,0.92925,0.92925,0.9307,0.95031,1
3,2,1,3,1,0.33288,0.42291,0.06359,0.02905,0.00248,0.0126,0.01357,0.00074,0.040114,0.08207,0.33288,0.75579,0.81938,0.84843,0.85091,0.86351,0.87708,0.87782,0.91793,1
3,2,1,3,2,0.24931,0.49839,0.06649,0.04307,0.00175,0.01244,0.0249,0.00055,0.03294,0.07016,0.24931,0.7477,0.81419,0.85726,0.85901,0.87145,0.89635,0.8969,0.92984,1
3,2,2,1,1,0.37028,0.40869,0.08301,0.04448,0.01153,0.01176,0.00286,0.0259,0.0205,0.02098,0.37028,0.77897,0.86198,0.90646,0.918,0.92976,0.93261,0.95852,0.97902,1
3,2,2,1,2,0.27994,0.48618,0.08762,0.06657,0.00822,0.01173,0.00529,0.01935,0.016993,0.01811,0.27994,0.76612,0.85374,0.92031,0.92853,0.94026,0.94555,0.9649,0.98189,1
3,2,2,2,1,0.35531,0.38439,0.02738,0.09343,0.01695,0.03192,0.00094,0.03072,0.024141,0.03483,0.35531,0.7397,0.76708,0.8605,0.87745,0.90937,0.91031,0.94103,0.96517,1
3,2,2,2,2,0.26511,0.45128,0.02852,0.13799,0.01193,0.03141,0.00171,0.02265,0.019749,0.02966,0.26511,0.71638,0.74491,0.88289,0.89482,0.92623,0.92794,0.95059,0.97034,1
3,2,2,3,1,0.53703,0.32118,0.03382,0.04569,0.00374,0.00673,0,0.00479,0.019316,0.0277,0.53703,0.85821,0.89204,0.93772,0.94146,0.94819,0.94819,0.95298,0.9723,1
3,2,2,3,2,0.42963,0.4043,0.03778,0.07235,0.00282,0.0071,0,0.00379,0.016943,0.0253,0.42963,0.83393,0.8717,0.94405,0.94687,0.95397,0.95397,0.95776,0.9747,1
